phase,file,line,section,subsection,id,prefix,text,classification
2,phase-2.md,72,Firebase authentication requirements,,FBAUTH-012,FBAUTH,A disabled Firebase user must be rejected by protected endpoints through `check_revoked=True` or a current Firebase-user lookup where that check is required. Local suspension must still be enforced independently. Re-enabling Firebase must not automatically reactivate a locally suspended user.,`REQUIRED`
2,phase-2.md,73,Firebase authentication requirements,,FBAUTH-013,FBAUTH,"Authentication failures caused by invalid credentials must return a safe `401` challenge without exposing token contents or detailed cryptographic diagnostics. Temporary Firebase certificate/API failures must fail closed, use bounded retries where the SDK supports them, and return a temporary service failure rather than treating the request as authenticated.",`REQUIRED`
2,phase-2.md,74,Firebase authentication requirements,,FBAUTH-014,FBAUTH,"The application must not cache a positive authentication result beyond the verified token’s expiry, and must not use cached authentication to bypass current local account-state or administrator-role checks. Raw token strings must not be cache keys visible in telemetry.",`REQUIRED`
2,phase-2.md,75,Firebase authentication requirements,,FBAUTH-015,FBAUTH,"Tokens should not be forwarded to downstream services unless that service is an intended trusted verifier for the same Firebase project and needs the end-user identity. Prefer forwarding a derived, minimal internal identity context over the original bearer token.",`STRONGLY RECOMMENDED`
2,phase-2.md,76,Firebase authentication requirements,,FBAUTH-016,FBAUTH,"Email verification must be enforced according to operation risk, not universally by assumption. Public browsing may remain open; hosting, messaging, payment-related actions, account recovery, or abuse-prone features may require verified email. Administrator access must require a verified and currently controlled identifier. Verification status must be taken from a current token/user record, not indefinitely cached.","`CONTEXT-DEPENDENT`, with administrator verification `REQUIRED`"
2,phase-2.md,77,Firebase authentication requirements,,FBAUTH-017,FBAUTH,"Recent authentication or step-up authentication must be required for password changes, primary-email changes, account deletion, provider linking/unlinking, MFA enrollment/removal, recovery-factor changes, data export, and similarly sensitive account operations. Payment-method metadata changes and sensitive profile changes require a documented risk decision.",`REQUIRED` for Firebase-designated sensitive account operations; otherwise `CONTEXT-DEPENDENT`
2,phase-2.md,78,Firebase authentication requirements,,FBAUTH-018,FBAUTH,"Password reset, sign-in, registration and account-recovery responses must resist account enumeration through generic client messages and materially similar response behavior. Email enumeration protection must remain enabled unless an approved exception documents the resulting exposure. Rate limits and abuse controls must cover sign-in, registration, reset, verification resend and recovery attempts.",`REQUIRED`
2,phase-2.md,79,Firebase authentication requirements,,FBAUTH-019,FBAUTH,"Recovery links and codes must be verified through Firebase, restricted to authorized continuation domains, used over HTTPS, and not exposed in analytics or logs. Custom handlers must validate the action code and operation before applying it. Support personnel must not bypass identity proofing by directly changing credentials solely on the basis of easily obtained profile data.",`REQUIRED`
2,phase-2.md,80,Firebase authentication requirements,,FBAUTH-020,FBAUTH,"Firebase password-policy configuration must be inspected and intentionally selected. The application must not rely on composition rules alone; it should permit long passwords, avoid forced periodic changes absent compromise, and combine provider controls with rate limiting and MFA according to risk.",`STRONGLY RECOMMENDED`
2,phase-2.md,81,Firebase authentication requirements,,FBAUTH-021,FBAUTH,Firebase MFA for ordinary player accounts may be optional or risk-triggered. Administrator accounts must use MFA. TOTP is preferable to SMS where Firebase-native factors are used; phishing-resistant authentication through a suitable identity provider should be preferred for the highest-risk administrators where feasible.,Ordinary users `CONTEXT-DEPENDENT`; administrators `REQUIRED`
2,phase-2.md,82,Firebase authentication requirements,,FBAUTH-022,FBAUTH,"App Check may be used as an additional signal for the custom FastAPI backend by requiring and verifying App Check tokens in a dedicated header. It must not replace Firebase user authentication, local authorization, rate limiting, anti-automation controls, or transaction safeguards.",`STRONGLY RECOMMENDED` for exposed abuse-prone browser APIs; otherwise `CONTEXT-DEPENDENT`
2,phase-2.md,83,Firebase authentication requirements,,FBAUTH-023,FBAUTH,"App Check limited-use/replay-consumption mode should be reserved for low-volume, high-value operations where its extra remote call, quota and latency are justified. Debug tokens must never be shipped or committed and must be deleted when exposed.",`CONTEXT-DEPENDENT`; debug-token protection `REQUIRED`
2,phase-2.md,84,Firebase authentication requirements,,FBAUTH-024,FBAUTH,"PostgreSQL must be the authoritative source for application roles, administrator status, account state, ownership, hosting eligibility and dynamic permissions. Firebase custom claims may be a derived cache or frontend/security-rule hint, but must not be an independent conflicting authority for backend authorization.",`REQUIRED` for this architecture
2,phase-2.md,85,Firebase authentication requirements,,FBAUTH-025,FBAUTH,"Only trusted backend code and tightly controlled operators may set custom claims. Claims must contain no secrets or mutable profile data, must remain below Firebase’s serialized 1,000-character limit, and must avoid reserved claims. A role reduction must update PostgreSQL first and must not wait for claim propagation to remove backend access.",`REQUIRED`
2,phase-2.md,86,Firebase authentication requirements,,FBAUTH-026,FBAUTH,"The Firebase Admin SDK must use an attached managed identity with Application Default Credentials on Google Cloud, or Workload Identity Federation/another short-lived identity mechanism off Google Cloud, whenever supported. Long-lived service-account JSON keys are a fallback, not the preferred production design.",`STRONGLY RECOMMENDED`
2,phase-2.md,87,Firebase authentication requirements,,FBAUTH-027,FBAUTH,"Firebase Admin credentials must never enter frontend bundles, public environment variables, source control, container layers, build artifacts, logs or crash reports. An unavoidable JSON key must be stored in a secret manager or protected file mount with minimal filesystem access and a documented rotation/revocation process.",`REQUIRED`
2,phase-2.md,88,Firebase authentication requirements,,FBAUTH-028,FBAUTH,"The backend service account must be single-purpose and granted only the Firebase Authentication permissions it actually needs. Broad project Owner, Editor, Firebase Admin, or unrestricted service-account impersonation must not be used where narrower roles or custom roles suffice.",`REQUIRED`
2,phase-2.md,89,Firebase authentication requirements,,FBAUTH-029,FBAUTH,"User-managed service-account key creation and upload should be disabled by organization policy where no justified key use exists. Any remaining keys must be inventoried, attributed, rotated, tested for disablement, and removed when unused. Emergency revocation must account for already issued short-lived access tokens.",`STRONGLY RECOMMENDED`; key inventory `REQUIRED` if keys exist
2,phase-2.md,90,Firebase authentication requirements,,FBAUTH-030,FBAUTH,"Development, automated testing, staging and production must use isolated Firebase projects and credentials. Each frontend and backend environment must use the matching project configuration, and wrong-environment tokens must fail audience/project verification. The Auth Emulator may be used for tests but not production.",`REQUIRED`
2,phase-2.md,96,Local account lifecycle requirements,,ACCOUNT-001,ACCOUNT,"Every local user must have an immutable association to the Firebase UID, protected by a non-null unique constraint. A separate local primary key may be used for business relationships. Email must not be the identity-join key.",`REQUIRED`
2,phase-2.md,97,Local account lifecycle requirements,,ACCOUNT-002,ACCOUNT,First-login or registration provisioning must be idempotent and safe under concurrent requests. It must use the UID uniqueness constraint and transactionally return the one resulting local account rather than creating duplicate rows or partially initialized users.,`REQUIRED`
2,phase-2.md,98,Local account lifecycle requirements,,ACCOUNT-003,ACCOUNT,"Provisioning before successful Firebase authentication must not create an active application account solely from untrusted client identity fields. If preregistration records exist, they must be inert and bound to the authenticated UID through a controlled claim process.",`REQUIRED`
2,phase-2.md,99,Local account lifecycle requirements,,ACCOUNT-004,ACCOUNT,"Firebase is authoritative for Firebase UID, sign-in providers, verified-email state and provider-managed contact attributes. PostgreSQL is authoritative for application display/profile data where the user can edit it, roles, account status, hosting eligibility, ownership and permissions. Every copied Firebase attribute must have a documented refresh rule.",`REQUIRED`
2,phase-2.md,100,Local account lifecycle requirements,,ACCOUNT-005,ACCOUNT,"Email comparisons used for display, notification or lookup may be normalized consistently, but normalization must not merge two local accounts or transfer authorization. An old email reused by a new Firebase UID must create or map to a distinct local identity unless an explicit, authenticated account-linking procedure proves ownership of both accounts.",`REQUIRED`
2,phase-2.md,101,Local account lifecycle requirements,,ACCOUNT-006,ACCOUNT,"Provider linking and account merging must require a currently authenticated user, recent authentication where sensitive, conflict detection, and an explicit policy for reconciling two existing local accounts. Automatic merging solely because emails match is prohibited.",`REQUIRED`
2,phase-2.md,102,Local account lifecycle requirements,,ACCOUNT-007,ACCOUNT,"Every authenticated request must resolve the current local user by Firebase UID and enforce the current local account state. A token for a nonexistent, suspended, deleted, or otherwise disallowed local account must not gain normal protected access.",`REQUIRED`
2,phase-2.md,103,Local account lifecycle requirements,,ACCOUNT-008,ACCOUNT,"Account states must have an explicit access matrix. `active` ordinarily permits policy-controlled access; `suspended` and `deleted` deny normal actions; `pending deletion` may permit only cancellation, status, export or support functions selected by policy; narrower restrictions such as “hosting disabled” must be enforced only on affected functions.",`REQUIRED` for an explicit matrix; individual limited-access choices `CONTEXT-DEPENDENT`
2,phase-2.md,104,Local account lifecycle requirements,,ACCOUNT-009,ACCOUNT,Local suspension must take effect before or atomically with any external Firebase action. The local status must block new protected operations immediately; refresh-token revocation and Firebase disablement should be added where a full authentication stop is intended. Partial Firebase failure must not reactivate application access and must enter a retry/reconciliation state.,`REQUIRED`
2,phase-2.md,105,Local account lifecycle requirements,,ACCOUNT-010,ACCOUNT,"Suspension workflows must be idempotent and concurrency-safe, must record the current state and authorized reason, and must define restoration behavior. Restoration may re-enable Firebase only when local policy allows it and must not silently restore prior administrator privileges or bypass current restrictions.",`REQUIRED`
2,phase-2.md,106,Local account lifecycle requirements,,ACCOUNT-011,ACCOUNT,Account deletion must require recent authentication for self-service requests and must first enter an application-controlled non-active state before destructive external work. Existing sessions must lose normal access promptly through local-state enforcement and Firebase revocation/disablement or deletion.,`REQUIRED`
2,phase-2.md,107,Local account lifecycle requirements,,ACCOUNT-012,ACCOUNT,"Immediate deletion, delayed deletion, soft deletion and anonymization are policy alternatives. If a cancellation period is chosen, the pending user may receive only explicitly allowed functions and cancellation must reauthenticate the user and verify that irreversible work has not already begun. No retention period should be inferred from Firebase documentation.",`CONTEXT-DEPENDENT`
2,phase-2.md,108,Local account lifecycle requirements,,ACCOUNT-013,ACCOUNT,"Deletion must be an idempotent, resumable workflow that tracks completion of Firebase deletion/revocation, local anonymization or deletion, notification cleanup, content handling, and external-provider actions. Retries must distinguish “already deleted” from failure. Reconciliation tooling must expose incomplete steps without exposing secrets.",`REQUIRED`
2,phase-2.md,109,Local account lifecycle requirements,,ACCOUNT-014,ACCOUNT,"Deletion must classify dependent data rather than blindly cascade everything. Authentication/profile data may be removed or anonymized; financial, refund, booking, consent, fraud, and administrative-attribution records may require preservation under separately approved policies. Retained records must no longer grant login or ownership rights.",`REQUIRED` for classification; exact retention `CONTEXT-DEPENDENT`
2,phase-2.md,110,Local account lifecycle requirements,,ACCOUNT-015,ACCOUNT,"A deleted account must leave sufficient non-authenticating linkage or tombstone state to prevent a later Firebase identity—especially one reusing the same email—from inheriting the old local user, bookings, credits, messages, roles or administrator status. Recreated identities must be treated as new unless an explicit recovery procedure authorizes restoration.",`REQUIRED`
