id,domain,requirement,classification,priority,preliminary_static_disposition,inventory_signal,required_next_verification,source_requirement_ids,final_audit_status,auditor_notes
API-M06,API and HTTP,"Serve public traffic only over HTTPS. Assign one layer to redirects and HSTS, verify external TLS behavior, and avoid redirect loops behind proxies.",MUST,P0,EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 231: DNS, TLS, CDN, WAF, security monitoring NOT REPOSITORY-VERIFIABLE",PROVIDER; RUNTIME; CONFIG,"API-011, 014; DEPLOY-011",NOT AUDITED,
API-M07,API and HTTP,"Use an exact reviewed CORS origin allowlist and explicitly required methods/headers. Treat CORS as a browser policy, not authentication or authorization.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 1 line 125: CORS CORSMiddleware Added after static mount, before route includes in code CORS_ALLOWED_ORIGINS; default localhost origins; credentials true; methods/headers * Adds CORS behavior per Starlette middleware backend/main.py:68, backend/main.py:80-106 CONFIRMED | Platform and Operational Foundation, Part 2 line 110: CORS/middleware tests No specific platform middleware/CORS test found N/A N/A Search for CORS_ALLOWED_ORIGINS/CORSMiddleware in tests NOT FOUND IN SUBSYSTEM",CODE; CONFIG; RUNTIME,API-012–013,NOT AUDITED,
API-M08,API and HTTP,"Apply security headers by response class and owning layer. Browser-document controls belong primarily on frontend HTML and interactive docs; JSON responses still require content-sniffing, cache, transport, and framing review.",MUST DECIDE,P1,STATIC GAP INDICATED,"Platform and Operational Foundation, Part 1 line 129 and Phase 1A line 168: no global security-header middleware was found.",CONFIG; RUNTIME,API-014; FESEC-012; DEPLOY-011,NOT AUDITED,
API-M09,API and HTTP,"Apply finite body, multipart, file, header, URL, query, pagination, search, export, and bulk-operation limits before expensive work. Effective limits across edge, server, parser, and application must be documented and tested.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Need a Sub and Messaging, Part 1 line 10: Limits Static file inspection only. No tests, builds, migrations, DB, app imports, servers, or external services were used. CONFIRMED | Platform and Operational Foundation, Part 1 line 134: Body/request-size limits No platform middleware found Not applicable R2 has image-size config, but not platform body limit No app-level request body-size control found Targeted search; R2 max image setting at backend/services/r2_storage_service.py:111-113 NOT FOUND IN SUBSYSTEM",CODE; CONFIG; RUNTIME; LOAD,API-015–017; STORAGE-013–020,NOT AUDITED,
API-M10,API and HTTP,"Define layered connection, body-read, application, database, provider, and proxy timeout budgets. Handle cancellation and release resources; move long-running durable work out of request processes.",MUST,P0,STATIC GAP INDICATED,"Platform and Operational Foundation, Part 1 line 205: no explicit database pool timeout or related pool controls were found; no broader application/proxy/provider timeout configuration surfaced in the static inventory.",CODE; CONFIG; RUNTIME,API-018–019; JOB-001–028; DEPLOY-006,NOT AUDITED,
API-M11,API and HTTP,"Use endpoint-aware abuse controls with appropriate IP, user, token, resource, and administrative scopes. Multi-instance behavior, Retry-After, failure mode, and monitoring must be explicit.",MUST,P0,STATIC GAP INDICATED,"Platform and Operational Foundation, Part 1 line 135 and Phase 1A line 168: no platform/global rate limiter was found; only chat-specific sender checks were identified.",CODE; CONFIG; RUNTIME; PROVIDER,"API-020–021, 044; FBAUTH-018; OBS-005",NOT AUDITED,
API-M12,API and HTTP,"Return a stable, non-disclosing JSON error contract with machine code, safe message, HTTP status, and request ID. Global handling must cover validation, malformed JSON, provider/database failures, timeouts, and unexpected exceptions without exposing internals.",MUST,P0,STATIC GAP INDICATED,"Phase 1A lines 175-177 and Platform Foundation Part 1 lines 218-228: FastAPI HTTPException is used, but no custom global exception handler, request IDs, structured logging, centralized provider-error logging, or redaction filter was found.",CODE; RUNTIME,API-022–024; FE-010–012,NOT AUDITED,
API-M13,API and HTTP,"Use documented HTTP methods, status codes, content types, authentication challenges, retry semantics, and idempotent behavior. Do not mutate through safe methods or silently accept unsupported media types.",MUST,P1,STATIC EVIDENCE PRESENT,"Venues/Images/Storage, Part 1 line 179: Allowed image types get_allowed_image_types R2_ALLOWED_IMAGE_TYPES none set of MIME types default jpeg/png/webp backend/services/r2_storage_service.py:51-80 CONFIRMED | Venues/Images/Storage, Part 1 line 143: MIME type same allowed configured/default types Admin content type sent in presigned PUT params stored content_type rejects unsupported type backend/services/venue_image_service.py:145-165; r2_storage_service.py:51-57 CONFIRMED",CODE; RUNTIME; CONTRACT TEST,API-024–027,NOT AUDITED,
API-M14,API and HTTP,"Use separate request, internal, public, and administrative schemas. Filter responses, define timestamp/UUID/money/null semantics, and paginate or stream large results deliberately.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Identity and Accounts, Part 1 line 92: users id UUID PK Internal app user id 0003_create_users_table.py:14-17 backend/models/user_model.py:116 CONFIRMED | Venues/Images/Storage, Part 1 line 245: Stored-object metadata table Not separate venue object metadata lives on venue_images N/A N/A N/A N/A N/A N/A no separate model found no separate migration found NOT FOUND IN SUBSYSTEM",CODE; RUNTIME; CONTRACT TEST,API-027–029; AUTHZ-011–014; SCHEMA-005–007,NOT AUDITED,
API-M15,API and HTTP,"Generate or validate request IDs, propagate safe correlation context, and emit structured access logs using route templates. Never log credentials, client secrets, presigned URLs, private messages, full payment data, or unnecessary personal data.",MUST,P0,STATIC GAP INDICATED,"Platform and Operational Foundation, Part 1 lines 131-132 and 223-227: no request/correlation ID middleware, request timing middleware, structured logging, or centralized redaction was found.",CODE; CONFIG; RUNTIME; PROVIDER,API-030–033; FBAUTH-005; AUDIT-015–016; OBS-001–004,NOT AUDITED,
API-M16,API and HTTP,"Define cache behavior for every response class. Prevent shared-cache leakage of authenticated, administrative, inbox, messaging, payment, or private data; use validators only for intentionally cacheable public resources.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Phase 1A general repository inventory line 167: Private/no-store cache headers on selected routes CONFIRMED backend/routes/my_game_routes.py:15, backend/routes/game_routes.py:195-209 | Platform and Operational Foundation, Part 1 line 227: | Secret/token/payment/private-message redaction | No logging redaction/filter helper found in platform scan | Not applicable | Not applicable | None found | Not applicable | Logging/redaction search | NOT FOUND IN SUBSYSTEM |",CODE; CONFIG; RUNTIME,API-034–035; SENS-008; FESEC-009–010,NOT AUDITED,
API-M17,API and HTTP,"Provide distinct startup, liveness, and readiness semantics, minimal uncached health responses, and a non-sensitive release identifier. Detailed diagnostics must be restricted.",MUST,P1,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 140: Any earlier health-check summary Confirmed endpoints are root / and conditional /db-health; docs/openapi routes are conditional via ENABLE_API_DOCS; no separate readiness/liveness/version/provider health endpoints found. backend/main.py:91-118 CONFIRMED | Platform and Operational Foundation, Part 1 line 248: | Readiness vs liveness distinction | Separate readiness/liveness endpoints | None found | Not applicable | Not represented | Not applicable | Health endpoint search | NOT FOUND IN SUBSYSTEM |",CODE; CONFIG; RUNTIME; PROVIDER,API-036–038; DEPLOY-005,NOT AUDITED,
API-M18,API and HTTP,"Choose and verify OpenAPI/docs exposure, maintain endpoint inventory, and manage compatibility, deprecation, and versioning deliberately. Hiding documentation must not substitute for authorization.",MUST DECIDE,P1,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 1 line 240: | API docs exposure flag | Operational route exposure | None | Not applicable | Docs/openapi URLs set to None when disabled | None | backend/main.py:69-77, backend/main.py:91-97 | CONFIRMED | | Platform and Operational Foundation, Part 2 line 61: Metrics endpoint None found None None None None endpoint/config search NOT FOUND IN SUBSYSTEM",CODE; CONFIG; RUNTIME; CONTRACT TEST,API-039–043,NOT AUDITED,
API-M19,API and HTTP,"Keep the complete HTTP chain current and aligned on message framing. Authorized end-to-end tests must cover proxy spoofing, ambiguous framing, CORS, limits, caching, errors, timeouts, and graceful shutdown.",MUST,P1,EXTERNAL / RUNTIME EVIDENCE REQUIRED,"Platform and Operational Foundation, Part 1 line 127: Forwarded/proxy headers None found Not applicable None found No repository-defined proxy header middleware Targeted search for proxy/forwarded middleware NOT FOUND IN SUBSYSTEM | Platform and Operational Foundation, Part 2 line 19: Reverse proxy container None found None None None None None None None Static search NOT FOUND IN SUBSYSTEM",RUNTIME; SECURITY TEST; PROVIDER,API-045–046,NOT AUDITED,
IAM-001,Identity and access,"Verify every protected request with the maintained Firebase Admin SDK for the explicitly configured project. Accept only Firebase ID tokens and validate signature, issuer, audience, time, subject, and syntax.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Identity and Accounts, Part 2 line 34: VITE_FIREBASE_PROJECT_ID Frontend Firebase Firebase project id No repository validation found Client-exposed frontend/.env.example:4, README.md:59 frontend/src/lib/firebase.js:9 CONFIRMED | Identity and Accounts, Part 2 line 77: Frontend Firebase env validation firebase.js passes env values to Firebase config; repository code does not validate missing values before initialization. frontend/src/lib/firebase.js:4-15 NOT FOUND IN SUBSYSTEM",CODE; RUNTIME; PROVIDER,FBAUTH-001–003,NOT AUDITED,
IAM-002,Identity and access,"Transmit bearer tokens only through HTTPS Authorization headers. Do not accept them from URLs or forms, duplicate them in browser storage, forward them unnecessarily, or expose them to logs and telemetry.",MUST,P0,STATIC EVIDENCE PRESENT,"Phase 1A general repository inventory line 109: Backend verifies Firebase bearer tokens CONFIRMED backend/firebase_admin_client.py:52-57, backend/services/auth_service.py:36-78 | Identity and Accounts, Part 2 line 69: Manual auth on /auth mutation routes /auth/sync-user, /auth/unfinished-account, and /auth/account do not use FastAPI auth dependencies, but their services parse/verify bearer tokens. backend/routes/auth_routes.py:40-66; backend/services/auth_service.py:36-78 CONFIRMED",CODE; RUNTIME; BUNDLE/LOG SCAN,"FBAUTH-004–006, 015; API-033; FESEC-008, 013",NOT AUDITED,
IAM-003,Identity and access,Make browser Firebase persistence an explicit risk decision. Token refresh and retry must be bounded and must not replay non-idempotent mutations blindly.,MUST DECIDE,P1,MIXED / PARTIAL STATIC EVIDENCE,"Admin/Moderation/Audit/Notices, Part 1 line 146: Idempotent replay create same admin + hashed key active admin none synchronous replay or conflict platform_notice_service.py:432, 437 CONFIRMED | Identity and Accounts, Part 1 line 74: verify_firebase_token Verifies Firebase ID token ID token string No local account check get_decoded_firebase_token backend/firebase_admin_client.py:52-57 CONFIRMED",CODE; RUNTIME,FBAUTH-007–008; FE-011; FESEC-008,NOT AUDITED,
IAM-004,Identity and access,"Distinguish cryptographic token validity, Firebase account validity, local account state, and current authorization. Suspension, deletion, disablement, role removal, or revocation must take effect within a documented interval across instances and caches.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Identity and Accounts, Part 1 line 74: verify_firebase_token Verifies Firebase ID token ID token string No local account check get_decoded_firebase_token backend/firebase_admin_client.py:52-57 CONFIRMED | Identity and Accounts, Part 2 line 36: VITE_FIREBASE_MEASUREMENT_ID Frontend env example Documented Firebase measurement id Documented, but no usage found in inspected frontend Firebase init Client-exposed if set frontend/.env.example:8 Not found in frontend/src/lib/firebase.js NOT FOUND IN SUBSYSTEM",CODE; RUNTIME; PROVIDER,FBAUTH-009–014; ACCOUNT-001–016; AUTHZ-019,NOT AUDITED,
IAM-005,Identity and access,Provision local users idempotently by Firebase UID with uniqueness and concurrent-first-login protection. Never attach a new UID to an old account merely because an email matches.,MUST,P0,STATIC EVIDENCE PRESENT,"Identity and Accounts, Part 1 line 27: Firebase uid maps to local users.auth_user_id; current-user lookup excludes pending_deletion and deleted_at rows: backend/services/auth_service.py:22-33, 121-154. Classification: CONFIRMED. | Identity and Accounts, Part 1 line 93: users auth_user_id nullable unique Firebase uid mapping 0003_create_users_table.py:17, 39 backend/models/user_model.py:117, 48 CONFIRMED",CODE; SCHEMA; CONCURRENCY TEST,FBAUTH-019–025; ACCOUNT-001–004; SCHEMA-002,NOT AUDITED,
IAM-006,Identity and access,"Document the source of truth and synchronization policy for UID, email, verification status, display name, phone, provider links, role, account status, ownership, and permissions.",MUST DECIDE,P1,MIXED / PARTIAL STATIC EVIDENCE,"Admin/Moderation/Audit/Notices, Part 1 line 8: Source of truth: CONFIRMED current working tree, including tracked, modified, deleted, and untracked files. | Identity and Accounts, Part 2 line 72: Firebase live config Providers, authorized domains, password policy, email templates, and service account permissions are outside repository source. Firebase dashboard/external service NOT REPOSITORY-VERIFIABLE",PROCESS; CODE; RUNTIME,FBAUTH-019–025; AUTHZ-001; ACCOUNT-001–016,NOT AUDITED,
IAM-007,Identity and access,"Define operation-specific verified-email policy. Administrator identity must use a verified, currently controlled identifier; other requirements depend on abuse and recovery risk.",MUST DECIDE,P1,NOT YET MAPPED,"Phase 1A general repository inventory line 37: Backend dependencies pinned in requirements.txt CONFIRMED backend/requirements.txt:1-32 | Identity and Accounts, Part 2 line 46: Enabled auth providers, authorized domains, password policy, email action templates, service account IAM permissions, Firebase project identity, and live user records. Classification: NOT REPOSITORY-VERIFIABLE.",CODE; RUNTIME; PROVIDER,FBAUTH-016,NOT AUDITED,
IAM-008,Identity and access,Require recent authentication or step-up controls for Firebase-sensitive account changes and other approved high-risk actions. Administrator MFA is required unless a documented provider limitation and compensating control exists.,MUST,P0,NOT YET MAPPED,"Identity and Accounts, Part 2 line 28: FIREBASE_ADMIN_CREDENTIALS_JSON Backend Firebase Admin Service account JSON for token verification/email/delete helpers Required unless file path var is set; invalid JSON raises config error Server-only backend/.env.example:2-3, README.md:35 backend/firebase_admin_client.py:27-36 CONFIRMED | Identity and Accounts, Part 2 line 36: VITE_FIREBASE_MEASUREMENT_ID Frontend env example Documented Firebase measurement id Documented, but no usage found in inspected frontend Firebase init Client-exposed if set frontend/.env.example:8 Not found in frontend/src/lib/firebase.js NOT FOUND IN SUBSYSTEM",CODE; RUNTIME; PROVIDER; PROCESS,"FBAUTH-017, 029–030; ADMIN-004–008",NOT AUDITED,
IAM-009,Identity and access,"Keep account recovery and sign-in responses enumeration-resistant and abuse-controlled. Preserve recovery ownership, factor reset, and emergency revocation procedures.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Identity and Accounts, Part 2 line 16: Password reset credential actions and reset pages Firebase client only Sends reset email, verifies reset code, confirms password reset frontend/src/context/authProviderCredentialActions.js:21-31; frontend/src/pages/auth/usePasswordResetForm.js:19-71 CONFIRMED | Phase 1A general repository inventory line 96: Stored procedures/triggers/views NOT FOUND IN REPOSITORY Migration scan found tables, indexes, constraints, extension use",CODE; RUNTIME; PROVIDER; PROCESS,FBAUTH-018; ADMIN-006–008,NOT AUDITED,
IAM-010,Identity and access,"Treat Firebase App Check as optional defense in depth for supported clients. It must not replace authentication, authorization, rate limiting, or replay-safe business operations.",CONDITIONAL,P2,STATIC GAP INDICATED,No App Check implementation or configuration was identified in the Identity or general repository inventories; Firebase dashboard state remains external.,CODE; RUNTIME; PROVIDER,FBAUTH-027,NOT AUDITED,
IAM-011,Identity and access,"Use managed identity, ADC, or workload-identity federation for Firebase Admin access where supported. Long-lived service-account keys require least privilege, restricted storage, inventory, rotation, monitoring, and emergency revocation.",MUST,P0,EXTERNAL EVIDENCE REQUIRED,"Identity and Accounts, Part 2 line 46: Enabled auth providers, authorized domains, password policy, email action templates, service account IAM permissions, Firebase project identity, and live user records. Classification: NOT REPOSITORY-VERIFIABLE. | Identity and Accounts, Part 2 line 72: Firebase live config Providers, authorized domains, password policy, email templates, and service account permissions are outside repository source. Firebase dashboard/external service NOT REPOSITORY-VERIFIABLE",CONFIG; PROVIDER; PROCESS,"FBAUTH-026, 028; SECRET-001–006; EXT-003",NOT AUDITED,
IAM-012,Identity and access,"Deny authorization by default on every request. A valid token is insufficient without a current local user, permitted account state, function permission, resource relationship, and valid workflow state.",MUST,P0,STATIC EVIDENCE PRESENT,"Identity and Accounts, Part 1 line 104: user_settings location permission check Valid location state values 0010_create_user_settings_table.py:26 backend/models/user_settings_model.py:15-29 CONFIRMED | Identity and Accounts, Part 1 line 82: require_active_account / require_active_user Active account dependency local User Requires account_status == ""active"" active-user routes backend/services/auth_service.py:167-179 CONFIRMED",CODE; RUNTIME,AUTHZ-001–003,NOT AUDITED,
IAM-013,Identity and access,"Enforce object, nested-resource, relationship, state, and function authorization server-side for every identifier and operation. UUID opacity, hidden routes, and frontend guards are not security controls.",MUST,P0,STATIC EVIDENCE PRESENT,"Identity and Accounts, Part 2 line 68: Frontend guards vs backend authorization Frontend route guards are navigation controls only; backend dependencies/services provide repository-verifiable authorization. frontend/src/routes/RouteGuards.jsx:28-112; backend/services/auth_service.py:167-202 CONFIRMED | Identity and Accounts, Part 2 line 24: Active-account behavior frontend guards plus backend Varies by backend route Frontend mostly checks appUser; admin frontend checks active admin. Product active-user enforcement is backend-side. frontend/src/routes/RouteGuards.jsx:28-112; backend/services/auth_service.py:167-202 CONFIRMED",CODE; RUNTIME; SECURITY TEST,AUTHZ-004–008,NOT AUDITED,
IAM-014,Identity and access,"Enforce field-level authorization with purpose-specific schemas and explicit field mapping. Reject mass assignment of roles, ownership, account state, payment state, provider IDs, timestamps, and administrative fields.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Phase 1A general repository inventory line 202: Payments store provider IDs and payment state CONFIRMED backend/models/payment_model.py:24, backend/models/user_payment_method_model.py:23 | Identity and Accounts, Part 1 line 95: users account_status default active; check active/suspended/pending_deletion/deleted Account state 0003_create_users_table.py:28, 35 backend/models/user_model.py:32-35, 132-134 CONFIRMED",CODE; RUNTIME,AUTHZ-009–014; API-M14,NOT AUDITED,
IAM-015,Identity and access,"Scope list, search, aggregate, cursor, bulk, and export queries to the current actor and visibility state. Decide when 403 or 404 concealment is appropriate and apply it consistently.",MUST,P0,STATIC EVIDENCE PRESENT,"Identity and Accounts, Part 1 line 101: users admin/search indexes Admin list/search and active-user lookup support 0003_create_users_table.py:44-52 backend/models/user_model.py:55-113 CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 115: List cases admin route optional filters/cursor active admin none list none admin_review_routes.py:27, admin_review_service.py:850 CONFIRMED",CODE; RUNTIME,AUTHZ-015–018,NOT AUDITED,
IAM-016,Identity and access,"Use a current backend administrator gate that requires a valid identity, existing local user, active state, non-deleted state, and current administrator permission on every request.",MUST,P0,STATIC EVIDENCE PRESENT,"Identity and Accounts, Part 1 line 82: require_active_account / require_active_user Active account dependency local User Requires account_status == ""active"" active-user routes backend/services/auth_service.py:167-179 CONFIRMED | Identity and Accounts, Part 1 line 80: get_authenticated_user_from_token / get_current_app_user Resolves local app user bearer header 404 if no mapped non-deleted/non-pending user most authenticated routes backend/services/auth_service.py:121-154 CONFIRMED",CODE; RUNTIME,ADMIN-001–003,NOT AUDITED,
IAM-017,Identity and access,"Protect role grants/removals, account suspension/deletion/restoration, financial mutations, private-message access, exports, and platform notices with action-specific permission, recent authentication, confirmation, idempotency, current-state checks, and auditability.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Admin/Moderation/Audit/Notices, Part 2 line 12: Platform Notice compose/review/confirm /admin/platform-notices/new createPlatformNotice, listAdminLookupUsers RequireAdmin step state, selected users, publish idempotency key Compose title/message, choose audience, preview, confirm send frontend/src/pages/admin/platform-notices/adminPlatformNotic... | Admin/Moderation/Audit/Notices, Part 1 line 170: Platform Notice linkage lookup none found none N/A N/A Platform Notices not notification rows platform_notice_service.py:17; inbox_service.py:225 NOT FOUND IN SUBSYSTEM",CODE; RUNTIME; AUDIT,ADMIN-004–012; ENF-001–008,NOT AUDITED,
IAM-018,Identity and access,"Use named administrator accounts, controlled bootstrap and offboarding, and prevent unsafe removal of the final recoverable administrator. Shared accounts are prohibited. Impersonation and break-glass features are conditional and tightly controlled if implemented.",MUST,P1,MIXED / PARTIAL STATIC EVIDENCE,"Phase 1A general repository inventory line 212: Legal/policy copy contains placeholder/final-review notices CONFIRMED frontend/src/features/legal/legalPolicies.js:28-30, frontend/src/features/legal/legalPolicies.js:52-54, frontend/src/features/legal/legalPolicies.js:88-90",PROVIDER; PROCESS; RUNTIME,ADMIN-009–015; SECRET-007–010,NOT AUDITED,
ADM-001,Audit and moderation,"Maintain a distinct authoritative administrative audit trail separate from access logs, application logs, moderation findings, case history, financial ledgers, and business status history.",MUST,P0,STATIC EVIDENCE PRESENT,"Phase 1A general repository inventory line 142: Admin action audit trail CONFIRMED backend/models/admin_action_model.py:14, backend/routes/admin_action_routes.py:29-123 | Database Foundation and Migrations, Part 1 line 212: Moderation reconciliation with_for_update() existing moderation findings for review case Reconcile current findings. Updates existing or creates new findings. content_moderation_finding_service.py:140-180 CONFIRMED",CODE; SCHEMA; PROCESS,AUDIT-001–002,NOT AUDITED,
